conversations
"[{'content': 'Command: How do I simple wrapper around the ""add partition"" ioctl?', 'role': 'user'}, {'content': 'Description: addpart', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to simple wrapper around the ""add partition"" ioctl?', 'role': 'user'}, {'content': 'Description: addpart', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to simple wrapper around the ""add partition"" ioctl.', 'role': 'user'}, {'content': 'Description: addpart', 'role': 'assistant'}]"
"[{'content': 'Command: How do I Advanced Package Tool?', 'role': 'user'}, {'content': 'Description: apt', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to Advanced Package Tool?', 'role': 'user'}, {'content': 'Description: apt', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to Advanced Package Tool.', 'role': 'user'}, {'content': 'Description: apt', 'role': 'assistant'}]"
"[{'content': 'Command: How do I query the APT cache?', 'role': 'user'}, {'content': 'Description: apt-cache', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to query the APT cache?', 'role': 'user'}, {'content': 'Description: apt-cache', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to query the APT cache.', 'role': 'user'}, {'content': 'Description: apt-cache', 'role': 'assistant'}]"
"[{'content': 'Command: How do I APT CDROM management utility?', 'role': 'user'}, {'content': 'Description: apt-cdrom', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to APT CDROM management utility?', 'role': 'user'}, {'content': 'Description: apt-cdrom', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to APT CDROM management utility.', 'role': 'user'}, {'content': 'Description: apt-cdrom', 'role': 'assistant'}]"
"[{'content': 'Command: How do I APT Configuration Query program?', 'role': 'user'}, {'content': 'Description: apt-config', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to APT Configuration Query program?', 'role': 'user'}, {'content': 'Description: apt-config', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to APT Configuration Query program.', 'role': 'user'}, {'content': 'Description: apt-config', 'role': 'assistant'}]"
"[{'content': 'Command: How do I APT package handling utility - command-line interface?', 'role': 'user'}, {'content': 'Description: apt-get', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to APT package handling utility - command-line interface?', 'role': 'user'}, {'content': 'Description: apt-get', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to APT package handling utility - command-line interface.', 'role': 'user'}, {'content': 'Description: apt-get', 'role': 'assistant'}]"
"[{'content': 'Command: How do I APT key management utility?', 'role': 'user'}, {'content': 'Description: apt-key', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to APT key management utility?', 'role': 'user'}, {'content': 'Description: apt-key', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to APT key management utility.', 'role': 'user'}, {'content': 'Description: apt-key', 'role': 'assistant'}]"
"[{'content': 'Command: How do I mark/unmark a package as being automatically-installed?', 'role': 'user'}, {'content': 'Description: apt-mark', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to mark/unmark a package as being automatically-installed?', 'role': 'user'}, {'content': 'Description: apt-mark', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to mark/unmark a package as being automatically-installed.', 'role': 'user'}, {'content': 'Description: apt-mark', 'role': 'assistant'}]"
"[{'content': 'Command: How do I print machine hardware name (same as uname -m)?', 'role': 'user'}, {'content': 'Description: arch', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to print machine hardware name (same as uname -m)?', 'role': 'user'}, {'content': 'Description: arch', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to print machine hardware name (same as uname -m).', 'role': 'user'}, {'content': 'Description: arch', 'role': 'assistant'}]"
"[{'content': 'Command: How do I base64 encode/decode data and print to standard output?', 'role': 'user'}, {'content': 'Description: base64', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to base64 encode/decode data and print to standard output?', 'role': 'user'}, {'content': 'Description: base64', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to base64 encode/decode data and print to standard output.', 'role': 'user'}, {'content': 'Description: base64', 'role': 'assistant'}]"
"[{'content': 'Command: How do I strip directory and suffix from filenames?', 'role': 'user'}, {'content': 'Description: basename', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to strip directory and suffix from filenames?', 'role': 'user'}, {'content': 'Description: basename', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to strip directory and suffix from filenames.', 'role': 'user'}, {'content': 'Description: basename', 'role': 'assistant'}]"
"[{'content': 'Command: How do I GNU Bourne-Again SHell?', 'role': 'user'}, {'content': 'Description: bash', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to GNU Bourne-Again SHell?', 'role': 'user'}, {'content': 'Description: bash', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to GNU Bourne-Again SHell.', 'role': 'user'}, {'content': 'Description: bash', 'role': 'assistant'}]"
"[{'content': 'Command: How do I report a bug in bash?', 'role': 'user'}, {'content': 'Description: bashbug', 'role': 'assistant'}]"
"[{'content': 'Command: What is the Linux command to report a bug in bash?', 'role': 'user'}, {'content': 'Description: bashbug', 'role': 'assistant'}]"
"[{'content': 'Command: Please provide the command to report a bug in bash.', 'role': 'user'}, {'content': 'Description: bashbug', 'role': 'assistant'}]"
"[{'content': 'Command: How do I a block-sorting file compressor v1.0.6?', 'role': 'user'}, {'content': 'Description: bunzip2', 'role': 'assistant'}]"
